VTU;species;sex;p;lcl;ucl
VTU46_Ifla;Culex quinquefasciatus;M;0;0;0.001581407
VTU47_Phenui;Culex quinquefasciatus;M;0.083458255;0.124412576;1
VTU1_Toti;Aedes aegypti;F;0.023158852;0.013476795;0.039595264
VTU2_Xinmo;Aedes aegypti;F;0.007545408;0.003391727;0.015042969
VTU3_Spinareo;Aedes aegypti;F;0.007994476;0.003519749;0.016307993
VTU4_Mesoni;Aedes aegypti;F;0;0;0.003270978
VTU5_Dicistro;Aedes aegypti;F;0.000921798;5.39E-05;0.004467175
VTU6_Qin;Aedes aegypti;F;0.006452398;0.002666606;0.013645212
VTU7_Bunya_unclass;Aedes aegypti;F;0;0;0.003270978
VTU8_Flavi;Aedes aegypti;F;0;0;0.003270978
VTU9_Rhabdo;Aedes aegypti;F;0;0;0.003270978
VTU10_Noda;Aedes aegypti;F;0.000934466;5.41E-05;0.004579869
VTU11_Nege;Aedes aegypti;F;0;0;0.003270978
VTU12_Permutotetra;Aedes aegypti;F;0.001872617;0.000342163;0.006111989
VTU13_Wolfram_unclass;Aedes aegypti;F;0;0;0.003270978
VTU14_Virga;Aedes aegypti;F;0;0;0.003270978
VTU15_Toli_unclass;Aedes aegypti;F;0;0;0.003270978
VTU16_Spinareo;Aedes aegypti;F;0;0;0.003270978
VTU17_Luteo_unclass;Aedes aegypti;F;0.000934466;5.41E-05;0.004579869
VTU18_Luteo_unclass;Aedes aegypti;F;0.000934466;5.41E-05;0.004579869
VTU19_Virga;Aedes aegypti;F;0;0;0.003270978
VTU20_Martelli_unclass;Aedes aegypti;F;0;0;0.003270978
VTU21_Luteo_unclass;Aedes aegypti;F;0;0;0.003270978
VTU22_Toli_unclass;Aedes aegypti;F;0.001924598;0.000345751;0.006393674
VTU23_Lefa_unclass;Aedes aegypti;F;0.010443246;0.005201151;0.019478016
VTU24_Noda;Aedes aegypti;F;0;0;0.003270978
VTU25_Rhabdo;Aedes aegypti;F;0;0;0.003270978
VTU26_Circo;Aedes aegypti;F;0;0;0.003270978
VTU27_Rhabdo;Aedes aegypti;F;0.029525232;0.017675935;0.050252484
VTU28_Nudi;Aedes aegypti;F;0.006588335;0.002700968;0.014054562
VTU29_Ifla;Aedes aegypti;F;0.010697152;0.005286957;0.020126389
VTU30_Nege;Aedes aegypti;F;0;0;0.003270978
VTU31_Partiti;Aedes aegypti;F;0.000920086;5.39E-05;0.004452343
VTU32_Nege;Aedes aegypti;F;0.006588335;0.002700968;0.014054562
VTU33_Orthomyxo;Aedes aegypti;F;0;0;0.003270978
VTU34_Orthomyxo;Aedes aegypti;F;0;0;0.003270978
VTU35_Mesoni;Aedes aegypti;F;0;0;0.003270978
VTU36_Luteo;Aedes aegypti;F;0;0;0.003270978
VTU37_Ifla;Aedes aegypti;F;0;0;0.003270978
