pool;zone;habitat;year;species;sex;replicate;number;Total_read;Reads_with_viral_hit;%_viral_reads;Map_on_Insecta;Map_on_bacteria;Assembled;Nb_of_contigs;Min_contigs_length;Max_contigs_length;Avg_contigs_length;Contigs_with_viral_hit
Ae_U2_20_M_4;U2;U;2020;Ae_ae;M;4;30;6.63E+06;645643;9.74;56883;1101128;5265325;1316;206;102000;1000.46;340
Ae_U3_20_M_1;U3;U;2020;Ae_ae;M;3;30;6.62E+06;111705;1.69;1986746;1977601;2318498;4222;205;102000;857.01;238
Ae_U3_20_M_2;U3;U;2020;Ae_ae;M;3;30;7.44E+06;181014;2.43;1829241;2907066;2383725;4993;207;102000;895.61;300
Ae_U3_20_M_3;U3;U;2020;Ae_ae;M;3;28;5.27E+06;236288;4.48;1123520;502777;3389780;4032;215;40622;854.82;261
Ae_U1_19_M_1;U1;U;2019;Ae_ae;M;1;25;5.76E+06;213296;3.7;3615676;63473;1877968;2509;215;102000;1117.71;277
Ae_R1_21_M_1;R1;R;2021;Ae_ae;M;1;15;8.49E+06;12363;0.15;2426385;2268601;2833442;7358;202;102000;768.38;135
Ae_R3_21_M_1;R3;R;2021;Ae_ae;M;1;14;8.29E+06;69575;0.84;7204686;87149;671957;2610;215;28364;963.3;127
Ae_R1_20_M_1;R1;R;2020;Ae_ae;M;1;28;2.26E+03;251;11.13;1145;273;797;189;211;40622;1399.71;26
Ae_R2_20_M_1;R2;R;2020;Ae_ae;M;1;17;7.43E+06;30554;0.41;3675045;1412744;1915451;3900;201;63105;756.34;123
Ae_R3_20_M_1;R3;R;2020;Ae_ae;M;1;5;6.69E+06;112715;1.69;3785078;453760;2101842;4299;202;102000;794.18;156
Ae_R1_19_M_1;R1;R;2019;Ae_ae;M;1;32;5.69E+06;309052;5.43;3687663;116774;1659786;6097;208;63105;879.95;337
